title;image_link;first_name;last_name;infix;publication_year;audiobook;pages;blurb;summary;themes;reading_level;recommendation_text;review_text;review_link;secondary_literature_text;secondary_literature_link
Oesters van Nam Kee;https://media.s-bol.com/mnW9ror1GNBn/xRB6PP/136x210.jpg;Kees;Beijnum;van;2000;Openbare Bibliotheek;320;"Berry (18) vindt het gewone leven maar saai. Hij hunkert naar een ‘Hollywood leven’ en gaat al een tijd, zonder dat zijn moeder het weet, niet meer naar school. Berry hangt thuis op de bank, maakt wat foto’s van wolkenluchten en trekt zich niets aan van anderen; hij liegt en bedriegt alles bij elkaar.";"Berry Kooijman is een scholier uit een van de ""betere"" buurten van Amsterdam. Zijn vader is gestorven, zijn moeder werkt bij de reclassering, zijn oudere broer is een voorbeeld en een bron van ergernis voor Berry. Op het moment dat het verhaal begint, is Berry gevlucht uit Amsterdam, naar het huis in Frankrijk waar hun gezin destijds mooie vakanties beleefde. Waarom hij precies moest vluchten wordt langzaam maar zeker onthuld. Berry liegt tegen iedereen in zijn omgeving: tegen zijn vrienden over zijn ""sjieke"" afkomst, tegen zijn moeder en broer over zijn mislukking op school. Alleen tegen zijn vriendin Thera is hij eerlijk. Thera en Berry beleven samen een prachtige tijd, maar nadat ze op een slimme wijze een aantal mensen een groot bedrag afhandig hebben gemaakt om aan geld te komen voor een wereldreis, ver van alle kneuterigheid van ouders en verplichtingen, haakt Thera af en kiest ze voor de veiligheid van een ""vaste(re) relatie"". ""Dirty Berry"" zoals Berry zich graag laat noemen door zijn vrienden van de straat, of ""Diablo"", zoals alleen Thera hem mag noemen, wacht in het huis van bewaring op zijn proces. Daar vertelt hij aan een psychiater wat er allemaal gebeurd is in zijn leven. Ook hierbij kleurt hij de werkelijkheid. Toch wordt langzaam maar zeker duidelijk dat Berry eigenlijk, net als miljoenen andere jongeren, op zoek is naar ""echtheid"", naar liefde. Stap voor stap wordt hem duidelijk dat hij die echtheid niet bij zijn vrienden kan vinden, dat de herinneringen aan zijn vader wel eens niet echt zouden kunnen zijn, dat de grote liefde voor Thera uiteindelijk onbeantwoord zal blijven. Dan komt hij tot een daad waarvan hij de gevolgen niet kan overzien";"""rebellie"",""liefde"",""ouders-en-kinderen"",""eenzaamheid"",""misdaad"",""op-zoek-naar-je-wortels"",""de-adolescent""";3;;;;;
Bruiloft aan zee;https://media.s-bol.com/lR627jM3vRm5/131x210.jpg;Abdelkader;Benali;;1996;Openbare Bibliotheek;222;Bruiloft aan zee' is een boek dat je langzaamaan verovert. In eerste instantie word je afgeschrikt door de vele stemmen die een nog verward verhaal vertellen. Maar gaandeweg krijg je door al die personen bij elkaar een afgerond verhaal dat naar een bloedstollend einde loopt.;De twintigjarige Lamarat Minar gaat met zijn familie van Nederland naar Marokko. Daar trouwt zijn zus Rebekka met zijn oom Mosa. Oom Mosa ziet echter hevig op tegen de bruiloft. Als vrijgezel kan hij nog ongegeneerd naar de hoeren gaan, maar als getrouwd man moet hij zich houden aan de mores van de godsdienst.Voordat de plechtigheid plaatsvindt, heeft oom Mosa dan ook het hazepad gekozen. Lamarat Minar wordt erop uit gestuurd om zijn oom terug te halen en zijn familie een vernedering te onthouden.;;4;;;;;
Hersenschimmen;https://media.s-bol.com/6x0pDXNBnNnQ/0A5ANV/140x210.jpg;J.;Bernlef;;1985;Openbare Bibliotheek;160;Een man merkt dat hij begint te dementeren.;"Hersenschimmen is waarschijnlijk wel Bernlefs meest gelezen boek. Het beschrijft de aftakeling door intredende dementie van Maarten Klein, een 71-jarige Nederlander die met zijn vrouw Vera vijftien jaar geleden naar de Verenigde Staten is geëmigreerd en daar nu al enige tijd met pensioen is.
In een snel tempo raakt hij zijn grip op de werkelijkheid kwijt. Ondanks alle goede zorgen van zijn vrouw, de huisarts en andere mensen uit zijn omgeving is hij uiteindelijk niet meer thuis te handhaven.
Een aangrijpend verhaal over een trieste kant van ouder worden.";"""liefde"",""psychische-gestoordheid"",""ziekte-en-dood""";3;;;;Besproken in Literair Lexicon / Uittr. Pocket;
Buiten is het maandag;https://media.s-bol.com/RREPDKqXxME/130x210.jpg;J.;Bernlef;;2004;Openbare Bibliotheek;214;Een weduwnaar, op zoek naar zijn met de noorderzon vertrokken zoon, komt terecht in Canada en bouwt daar een nieuw bestaan op.;"Buiten is het maandag gaat over verdwijnen en over herinneren. De hoofdpersoon, Stijn Bekkering, heeft bij een fataal auto-ongeluk zijn vrouw verloren. Terwijl hij in coma lag, werd zij begraven. Hij blijft achter met herinneringen en met een groot gat in zijn geheugen. Bernlef werkte dit thema al eens eerder uit, in Sneeuw.
Terwijl Stijn probeert te herstellen van de klap, verdwijnt zijn zoon ineens met de noorderzon. Hij laat zijn vrouw in de steek, lijkt van de aardbodem verzwolgen. Als via een internetsite, die in het teken staat van vermissingen, gesuggereerd wordt dat Harry is opgedoken ver weg in Canada, gaat Stijn daarheen en komt voor grote verrassingen te staan. Hij besluit te blijven in de uitgestrekte en amper bewoonde houthakkerswouden in Canada.
";"""liefde"",""ouders-en-kinderen"",""andere-plaatsen-andere-tijden"",""ziekte-en-dood"",""eenzaamheid""";4;;;;;
Lieve Céline;https://media.s-bol.com/4Llgrxo7xDK6/134x210.jpg;Hanna;Bervoets;;2011;Openbare Bibliotheek;204;Een zwakbegaafd meisje is fan van Céline Dion en doet er werkelijk alles voor om haar in werkelijkheid te ontmoeten.;Een zwakbegaafd meisje, Brooke, genoemd naar de hoofdpersoon uit The Bold and the Beautiful, is fan van Céline Dion. Haar grootste wens is om naar haar shows in Las Vegas te kunnen, Céline in het echt te ontmoeten. Maar er zijn nogal wat problemen: ze heeft niet veel geld, ze kan eigenlijk niet echt voor zichzelf zorgen én ze heeft een baby, als gevolg van een verkrachting. Als je echter echt graag iets wil, moet je gewoon zorgen dat het kan. Simpel toch?!;"""liefde"",""ouders-en-kinderen"",""school"",""misdaad"",""ziekte-en-dood"",""psychische-gestoordheid"",""de-adolescent""";3;;;https://www.volkskrant.nl/nieuws-achtergrond/houtje-touwtje~b2dc909d/;;
Alles wat er was;https://media.s-bol.com/LLE2NVzRZMW/134x210.jpg;Hanna;Bervoets;;2013;Openbare Bibliotheek;284;Een groep mensen is op zondag in een schoolgebouw bijeen voor een televisieopname. Dan klinkt er een knal. Op bevel van de autoriteiten gaan ramen, deuren en gordijnen dicht. En ze blijven dicht. Is er nog leven buiten? En hoe overleef je als groep met amper iets te eten?;Een groep mensen is op zondag in een schoolgebouw bijeen voor een televisieopname. Dan klinkt er een knal. Op bevel van de autoriteitengaan ramen, deuren en gordijnen dicht. En ze blijven dicht. Is er nogleven buiten? En hoe overleef je als groep met amper iets te eten?;"""eenzaamheid"",""liefde"",""ouders-en-kinderen"",""psychische-gestoordheid"",""ziekte-en-dood""";4;;;;;
Efter;https://media.s-bol.com/B2JM6El0V8w2/MLnLJm/135x210.jpg;Hanna;Bervoets;;2014;Openbare Bibliotheek;312;Deze roman speelt in de nabije toekomst, waarin verliefdheid gezien wordt als een ziekte: Love Addiction Disorder: een aandoening die op verslaving lijkt en behandeld moet worden.;Deze roman speelt in de nabije toekomst, waarin verliefdheid gezien wordt als een ziekte: Love Addiction Disorder: een aandoening die op verslaving lijkt en behandeld moet worden. Dat gebeurt in gespecialiseerde klinieken. In een ervan wordt geëxperimenteerd met een nieuw geneesmiddel, Efter. Een journaliste komt erachter dat dit medicijn gevaarlijke bijwerkingen heeft, en dat de kliniek waarin het geneesmiddel wordt toegepast, het niet zo nauw neemt met regels en wetten. En datheeft grote gevolgenvoor de jonge patiënten: grote, tragische gevolgen.;"""andere-plaatsen-andere-tijden"",""de-adolescent"",""eenzaamheid"",""liefde"",""misdaad"",""ouders-en-kinderen"",""psychische-gestoordheid"",""rebellie"",""ziekte-en-dood""";4;;;;;
Wat wij zagen;https://media.s-bol.com/3KKoPJPYLVW9/wmR4Xyz/131x210.jpg;Hanna;Bervoets;;2021;Openbare Bibliotheek;93;Wanneer Kayleigh in de financiële problemen raakt, solliciteert ze naar een baan als 'content moderator' voor een online platform waarvan ze de naam niet mag noemen. Haar taak: beoordelen welke aanstootgevende filmpjes, foto's en tirades moeten worden verwijderd. Het werk is zwaar. Kayleigh en haar collega's zien gruwelijke dingen voorbijkomen, en de richtlijnen van het platform zijn vaak onnavolgbaar. Toch voelt Kayleigh zich op haar plek, binnen het moderatorenteam vindt ze broederschap. En als Kayleigh verliefd wordt op haar collega Sigrid lacht de toekomst hen toe. Of lijkt dat maar zo? Wat wij zagen is een verhaal over wie of wat ons wereldbeeld bepaalt.;;;1;;;;;
Wij zijn licht;https://media.s-bol.com/xl14xq2l3693/Roj5PnV/141x210.jpg;Gerda;Blees;;2020;Openbare Bibliotheek;222;Heel origineel verteld, bizar verhaal over de leden van een woongroep die ophouden met eten en van Â´licht en luchtÂ´ willen leven.;"Vier mensen vormen de woongroep Klank & Liefde"". Ze willen ""natuurlijk"" leven, zich niet laten vergiftigen door voedsel. ""Eén met het Universum, leven van licht en lucht, in liefde voor elkaar'. Maar dan sterft een van hen, aan ondervoeding. De gewaarschuwde arts belt de lijkschouwer, en die belt de politie..";"""eenzaamheid"",""kunst-en-kunstenaar"",""misdaad"",""ouders-en-kinderen"",""psychische-gestoordheid"",""ziekte-en-dood"",""berust-op-werkelijkheid""";4;;;;;
De Saamhorigheidsgroep;https://media.s-bol.com/qrm0PQmQKL2R/BwER2J/132x210.jpg;Merijn;Boer;de;2020;Openbare Bibliotheek;394;"Acht dertigers, mannen en vrouwen, linkse idealisten, vormen een groep. Een buitenstaander treedt toe tot de groep, omdat hij verliefd is op een van de vrouwen; maar de groepsactiviteiten bekijkt hij met verbazing.";"Bernard, diplomaat in wording, wordt door zijn vriend Felix geïntroduceerd in de Saamhorigheidsgroep, een groep van linkse idealisten die heel concreet proberen de wereld te verbeteren. Het is duidelijk geen club voor hem, maar hij wordt verliefd op een van de vrouwelijke leden. En dan neemt hij de groep en de opmerkelijke gewoonten daarbinnen maar voor lief. Maar dat leidt tot ongemakkelijke situaties en moeilijke keuzes…
";"""andere-plaatsen-andere-tijden"", ""eenzaamheid"", ""kunst-en-kunstenaar"", ""liefde"", ""ouders-en-kinderen"", ""berust-op-werkelijkheid";3;;;;;
Ze zonen van Bruce Lee;https://media.s-bol.com/xGM129jALRpP/135x210.jpg;Alex;Boogers;;2020;Openbare Bibliotheek;262;In een brief aan zijn 17-jarige zoon, die hem vergezelt op reizen naar Hong Kong en plaatsen in de VS waar Bruce Lee heeft geleefd, beschrijft een vader zijn fascinatie voor deze vechtsportkoning, die hij als een gids voor het leven beschouwt.;;"""sport"",""andere-plaatsen-andere-tijden"",""ouders-en-kinderen"", ""berust-op-werkelijkheid";1;;;;;
Wij zijn van diamant;https://media.s-bol.com/LGYAm1o8mAjp/mnWWj0/135x210.jpg;Alex;Boogers;;2023;Openbare Bibliotheek;411;"Twee broers, op reis in Amerika, met verschillende bedoelingen; een reis met een tragische afloop..";William wil vrij zijn, gaan reizen om zijn leven in Nederland te ontvluchten. Zijn broer Markus reist hem achterna, met, zo blijkt, een duidelijk plan. Maar voor William erachter komt wat dat plan was, is er al heel veel gebeurd. In het boek dat Markus voor hem heeft meegenomen, van opa Lovitz, vindt William de antwoorden.;"""Andere-plaatsen-andere-tijden"", ""De adolescent, ""Eenzaamheid"", ""kunst-en-kunstenaar"", ""liefde"", ""Ouders-en-kinderen"", ""Misdaad"", ""ziekte-en-dood"", ""Berust-op-werkelijkheid"", ""rebellie"", ""school"", ""vrouwenstrijd"", ""familie""";4;;;;;
Post voor mevrouw Bromley;https://media.s-bol.com/7O76K04jVg51/6X8OWol/131x210.jpg;Stefan;Brijs;;2011;Openbare Bibliotheek;506;Een Engelse student probeert vergeefs buiten de (Eerste Wereld)oorlog te blijven.;Een jonge Engelse student wordt door zijn omgeving steeds heviger onder druk gezet om ook in dienst te gaan na het begin van de Eerste Wereldoorlog. Uiteindelijk zwicht hij en komt midden in de gruwelijkheden van de loopgravenoorlog terecht.;"""andere-plaatsen-andere-tijden"",""de-adolescent"",""eenzaamheid"",""liefde"",""school"",""oorlog"",""ouders-en-kinderen"",""psychische-gestoordheid"",""ziekte-en-dood""";4;"Mevrouw Verberg over dit boek: 'En weer een boek van Stefan Brijs dat je in een adem uitleest. Post voor mevrouw Bromley speelt zich af in augustus 1914. De eerste wereldoorlog is begonnen en duizenden jongemannen in Engeland melden zich bij het leger aan om te gaan vechten tegen de Duitsers. Martin Bromley , 17, probeert zijn vriend John Patterson over te halen om samen in dienst te gaan. Maar John wil liever studeren… Een schitterend boek over dilemma’s , vriendschap en de WOI.'
";;;;
De engelenmaker;https://media.s-bol.com/o7Wk91NxQxxX/zv7Qr5Z/134x210.jpg;Stefan;Brijs;;2005;Openbare Bibliotheek;429;Het hoogst gewaardeerde boek onder scholieren van het vwo (bron: onderzoek Jeroen Dera). Stel je een klein dorp voor waar iedereen elkaar niet alleen kent, maar ook in de gaten houdt.;"De engelenmaker gaat over dokter Victor Hoppe. Na een afwezigheid van zo""n twintig jaar keert hij terug in zijn geboorteplaats Wolfheim, vlakbij het Drielandenpunt bij Vaals. De dorpelingen bekijken hem met argwaan, ook omdat hij een drieling bij zich heeft, drie identieke, misvormde jongensbaby""s, die hij zorgvuldig afschermt van de dorpelingen. Maar langzaam ontstaat er toch enig voorzichtig contact, en langzaam wordt de merkwaardige geschiedenis van de dokter en zijn drie zoons duidelijk. Het boek is soms moeilijk doordat er enkele verhaallijnen door elkaar lopen, en het is redelijk dik, maar het is een fascinerend verhaal!
";"""eenzaamheid"",""liefde"",""misdaad"",""op-zoek-naar-je-wortels"",""ouders-en-kinderen"",""psychische-gestoordheid"",""rebellie"",""ziekte-en-dood""";4;Mevrouw Verberg over dit boek: 'Dit verhaal gaat over religie en wetenschap. Lukt het Viktor Hoppe om God te verslaan en zelf leven te creëren? Waarom gaat hij deze strijd aan? Wat is er toch met zijn drieling aan de hand? Ga dit boek lezen, in een adem lees je het uit.';;https://www.volkskrant.nl/cultuur-media/zou-dokter-hoppe-mensen-klonen~b3cad58f/;;
Meer vinexvrouwen;https://media.s-bol.com/J6621vG20m4J/KO7l3Lz/130x210.jpg;Naima;El Bezaz;;2010;Openbare Bibliotheek;190;Een Marokkaanse vrouw beschrijft het leven in een rijtjeshuis in een vinexwijk, waarin zich achter de saaie buitenkant allerlei opmerkelijke zaken afspelen.;Vinexvrouwen is een autobiografische roman, of meer een verzameling situatieschetsen van een leven van een Marokkaanse vrouw in een Vinexwijk. Achter de voordeuren van de keurige rijtjeshuizen in de nieuwbouwwijk spelen zich de meest uiteenlopende zaken af waaronder overspel en drugsgebruik. Discriminatie is aan de orde van de dag en de ik doet er zelf al even hard aan mee!;"""humor"",""liefde"",""ouders-en-kinderen"",""rebellie"",""school"",""vrouwenstrijd"",""berust-op-werkelijkheid""";2;;;;;
Eus;https://media.s-bol.com/58YNJok5ANwx/134x210.jpg;Özcan;Akyol;;2012;Storytel;271;Eus groeit op in een gezin met een agressieve, drinkende en gierige vader en een liefhebbende, maar machteloze moeder.;"Eus groeit op in een gezin met een agressieve, drinkende en gierige vader en een liefhebbende, maar machteloze moeder.

Ze houden zich als Turks gezin niet aan allerlei islamitische voorschriften en wijken daardoor af van andere Turkse gezinnen. Alhoewel hij goed kan leren raakt Eus na de middelbare school toch op het slechte pad. Voordat hij het weet rijdt hij als chauffeur van een zigeunerfamilie door Europa om winkels leeg te roven.";;2;;;;;
Afslag 23;https://media.s-bol.com/mPqvG8ROZjyp/5mR03X/134x210.jpg;Özcan;Akyol;;2023;Storytel;264;In Afslag 23 doet het hoofdpersonage Eus, een jongen die opgroeit aan de zelfkant van de maatschappij, zijn uiterste best om door schade en schande iets van zijn leven te maken.;In Afslag 23 doet het hoofdpersonage Eus, een jongen die opgroeit aan de zelfkant van de maatschappij, zijn uiterste best om door schade en schande iets van zijn leven te maken. Wonderlijk genoeg heeft hij de perfecte vriendin, vindt hij al snel een baan als vertegenwoordiger en reist hij in die hoedanigheid kriskras door Nederland. Terwijl zijn leven op papier de betere kant op gaat, voelt Eus zich na elke nieuwe ervaring kleiner worden. In alle spiegels die hem worden voorgehouden, ziet hij iemand anders, met wie hij zich moeilijk kan vereenzelvigen. Vooral in de buurt van zijn jeugdvrienden, twee paradijsvogels, vraagt hij zich af wat er eigenlijk van hem is overgebleven. Eus scalpeert de hypocrisie van de middenklasse en ontdekt algauw dat hij iedereen moreel kan verslaan, met uitzondering van één iemand: zichzelf. Dat leidt tot een terugval in oude gewoontes, die niet per se door iedereen worden gewaardeerd.;;2;;;;;
Een onschuldig meisje;https://media.s-bol.com/31ljOk0E335Q/129x210.jpg;J.;Bernlef;;2015;Storytel;136;"De veertienjarige Lucille woont in een klein dorp, is een paar keer blijven zitten en heeft ouders die voortdurend ruziemaken. Ze snakt naar aandacht en wanneer er een nieuwe, aardige leraar op school komt, grijpt ze haar kans. Ze probeert hem te verleiden en vertelt haar vriendinnen de wildste verhalen over hen beiden - al gaat hij in werkelijkheid niet in op haar avances. Toch wordt de sfeer steeds grimmiger en beschuldigen de dorpelingen hem al snel van seksueel misbruik. Hoe kan hij zich verdedigen tegen een uit de hand gelopen leugen? 
Bernlef stuurde het manuscript van Een onschuldig meisje twee weken voor zijn overlijden in oktober 2012 naar de uitgeverij. Het is de allerlaatste roman die hij voltooide.";;;3;;;;;
Sneeuw;https://media.s-bol.com/R82XLjJDvyBw/Vm8vXoz/130x210.jpg;J.;Bernlef;;2008;Storytel;102;Op een eiland voor de westkust van Zweden verliest een man zijn vrouw door een auto-ongeluk. In hun peilloze verdriet komen de man en zijn dochter nader tot elkaar en betreden verboden gebied. Bernlef beschrijft deze schrijnende geschiedenis van liefde en gemis in een stijl die even kaal is al het landschap waarin het verhaal zich afspeelt.;;;3;;;;;
Welkom in het Rijk der Zieken;https://media.s-bol.com/O2jQP4BEyG0G/kA0GEE/134x210.jpg;Hanna;Bervoets;;2019;Storytel;277;Een jonge man krijgt Q-koorts en aansluitend daarop een chronisch vermoeidheidssyndroom: voor de rest van zijn leven is hij ziek. Alles wat hem dierbaar is, zijn relatie, zijn baan, zijn toekomst, komt onder druk te staan.;"Clay, dertiger, leuke baan, aantrekkelijke vriendin, wordt ziek, en dat blijkt Q-koorts, en aansluitend daarop blijkt hij slachtoffer van het Q-koortsvermoeidheidssyndroom. Verder leven na zo""n fysieke en mentale klap blijkt niet eenvoudig. In twee verhaallijnen volgen we de worsteling van Clay in het Rijk der Zieken, in de wereld van hoop en tegenvallers, van lotgenoten en buitenstaanders.
";"""eenzaamheid"",""liefde"",""ziekte-en-dood"",""berust-op-werkelijkheid""";3;;;;;
